# Grammatical Features
#Locale	ID	Feature	Usage	Values
Slovenian	sl	grammaticalCase	general	nominative, accusative, genitive, locative, dative, instrumental
Slovenian	sl	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dan	<div class='cldr_example'><span class='cldr_substituted'>1</span> dan</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dan</div>
Plural	two	{0} dneva	<div class='cldr_example'><span class='cldr_substituted'>2</span> dneva</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dneva</div>
Plural	few	{0} dnevi	<div class='cldr_example'><span class='cldr_substituted'>3</span> dnevi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dnevi</div>
Plural	other	{0} dni	<div class='cldr_example'><span class='cldr_substituted'>5</span> dni</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3</span> dni</div>
Case (for measurement units)	nominative	{0} je	<div class='cldr_example'><span class='cldr_substituted'>2 kvadratna metra</span> je</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3 kvadratne metre</span> je</div>
Case (for measurement units)	accusative	čez {0}	<div class='cldr_example'>čez <span class='cldr_substituted'>3 kvadratne metre</span></div><div class='cldr_example'>❌  čez <span class='cldr_substituted'>1 kvadratnemu metru</span></div>
Case (for measurement units)	genitive	brez {0}	<div class='cldr_example'>brez <span class='cldr_substituted'>1 kvadratnega metra</span></div><div class='cldr_example'>❌  brez <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	locative	po {0}	<div class='cldr_example'>po <span class='cldr_substituted'>1 kvadratnem metru</span></div><div class='cldr_example'>❌  po <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	dative	kljub {0}	<div class='cldr_example'>kljub <span class='cldr_substituted'>1 kvadratnemu metru</span></div><div class='cldr_example'>❌  kljub <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	instrumental	s/z {0}	<div class='cldr_example'>s/z <span class='cldr_substituted'>1 kvadratnim metrom</span></div><div class='cldr_example'>❌  s/z <span class='cldr_substituted'>3 kvadratne metre</span></div>
Gender (for measurement units)	masculine	On {0}	<div class='cldr_example'>On <span class='cldr_substituted'>dan</span></div><div class='cldr_example'>❌  On <span class='cldr_substituted'>ura</span></div>
Gender (for measurement units)	feminine	Ona {0}	<div class='cldr_example'>Ona <span class='cldr_substituted'>ura</span></div><div class='cldr_example'>❌  Ona <span class='cldr_substituted'>dan</span></div>
Gender (for measurement units)	neuter	Ono {0}	<div class='cldr_example'>Ono <span class='cldr_substituted'>leto</span></div><div class='cldr_example'>❌  Ono <span class='cldr_substituted'>ura</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 101.0	Pattern for two	Case MP + pattern with 102.0	Pattern for few	Case MP + pattern with 4.0	Pattern for other	Case MP + pattern with 5.0
area	square kilometers	masculine	On kvadratni kilometer	genitive	{0} kvadratnega kilometra	brez 101 kvadratnega kilometra	{0} kvadratnih kilometrov	brez 102 kvadratnih kilometrov	{0} kvadratnih kilometrov	brez 4 kvadratnih kilometrov	{0} kvadratnih kilometrov	brez 5 kvadratnih kilometrov
area	square kilometers	masculine	On kvadratni kilometer	locative	{0} kvadratnem kilometru	po 101 kvadratnem kilometru	{0} kvadratnih kilometrih	po 102 kvadratnih kilometrih	{0} kvadratnih kilometrih	po 4 kvadratnih kilometrih	{0} kvadratnih kilometrih	po 5 kvadratnih kilometrih
area	square kilometers	masculine	On kvadratni kilometer	dative	{0} kvadratnemu kilometru	kljub 101 kvadratnemu kilometru	{0} kvadratnima kilometroma	kljub 102 kvadratnima kilometroma	{0} kvadratnim kilometrom	kljub 4 kvadratnim kilometrom	{0} kvadratnim kilometrom	kljub 5 kvadratnim kilometrom
area	square kilometers	masculine	On kvadratni kilometer	instrumental	{0} kvadratnim kilometrom	s/z 101 kvadratnim kilometrom	{0} kvadratnima kilometroma	s/z 102 kvadratnima kilometroma	{0} kvadratnimi kilometri	s/z 4 kvadratnimi kilometri	{0} kvadratnimi kilometri	s/z 5 kvadratnimi kilometri
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	nominative	{0} kvadratna milja	101 kvadratna milja je	{0} kvadratni milji	102 kvadratni milji je	{0} kvadratne milje	4 kvadratne milje je	{0} kvadratnih milj	5 kvadratnih milj je
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	accusative	{0} kvadratna milja	čez 101 kvadratna milja	{0} kvadratni milji	čez 102 kvadratni milji	{0} kvadratne milje	čez 4 kvadratne milje	{0} kvadratnih milj	čez 5 kvadratnih milj
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	genitive	{0} kvadratna milja	brez 101 kvadratna milja	{0} kvadratni milji	brez 102 kvadratni milji	{0} kvadratne milje	brez 4 kvadratne milje	{0} kvadratnih milj	brez 5 kvadratnih milj
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	locative	{0} kvadratna milja	po 101 kvadratna milja	{0} kvadratni milji	po 102 kvadratni milji	{0} kvadratne milje	po 4 kvadratne milje	{0} kvadratnih milj	po 5 kvadratnih milj
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	dative	{0} kvadratna milja	kljub 101 kvadratna milja	{0} kvadratni milji	kljub 102 kvadratni milji	{0} kvadratne milje	kljub 4 kvadratne milje	{0} kvadratnih milj	kljub 5 kvadratnih milj
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	instrumental	{0} kvadratna milja	s/z 101 kvadratna milja	{0} kvadratni milji	s/z 102 kvadratni milji	{0} kvadratne milje	s/z 4 kvadratne milje	{0} kvadratnih milj	s/z 5 kvadratnih milj
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	masculine	On milimol na liter	nominative	{0} milimol na liter	101 milimol na liter je	{0} milimola na liter	102 milimola na liter je	{0} milimoli na liter	4 milimoli na liter je	{0} milimolov na liter	5 milimolov na liter je
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	masculine	On milimol na liter	accusative	{0} milimol na liter	čez 101 milimol na liter	{0} milimola na liter	čez 102 milimola na liter	{0} milimole na liter	čez 4 milimole na liter	{0} milimolov na liter	čez 5 milimolov na liter
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	masculine	On milimol na liter	genitive	{0} milimola na liter	brez 101 milimola na liter	{0} milimolov na liter	brez 102 milimolov na liter	{0} milimolov na liter	brez 4 milimolov na liter	{0} milimolov na liter	brez 5 milimolov na liter
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	masculine	On milimol na liter	locative	{0} milimolu na liter	po 101 milimolu na liter	{0} milimolih na liter	po 102 milimolih na liter	{0} milimolih na liter	po 4 milimolih na liter	{0} milimolih na liter	po 5 milimolih na liter
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	masculine	On milimol na liter	dative	{0} milimolu na liter	kljub 101 milimolu na liter	{0} milimoloma na liter	kljub 102 milimoloma na liter	{0} milimolom na liter	kljub 4 milimolom na liter	{0} milimolom na liter	kljub 5 milimolom na liter
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	masculine	On milimol na liter	instrumental	{0} milimolom na liter	s/z 101 milimolom na liter	{0} milimoloma na liter	s/z 102 milimoloma na liter	{0} milimoli na liter	s/z 4 milimoli na liter	{0} milimoli na liter	s/z 5 milimoli na liter
consumption	liters per 100 kilometers	masculine	On liter na 100 kilometrov	nominative	{0} liter na 100 kilometrov	101 liter na 100 kilometrov je	{0} litra na 100 kilometrov	102 litra na 100 kilometrov je	{0} litri na 100 kilometrov	4 litri na 100 kilometrov je	{0} litrov na 100 kilometrov	5 litrov na 100 kilometrov je
consumption	liters per 100 kilometers	masculine	On liter na 100 kilometrov	accusative	{0} liter na 100 kilometrov	čez 101 liter na 100 kilometrov	{0} litra na 100 kilometrov	čez 102 litra na 100 kilometrov	{0} litre na 100 kilometrov	čez 4 litre na 100 kilometrov	{0} litrov na 100 kilometrov	čez 5 litrov na 100 kilometrov
consumption	liters per 100 kilometers	masculine	On liter na 100 kilometrov	genitive	{0} litra na 100 kilometrov	brez 101 litra na 100 kilometrov	{0} litrov na 100 kilometrov	brez 102 litrov na 100 kilometrov	{0} litrov na 100 kilometrov	brez 4 litrov na 100 kilometrov	{0} litrov na 100 kilometrov	brez 5 litrov na 100 kilometrov
consumption	liters per 100 kilometers	masculine	On liter na 100 kilometrov	locative	{0} litru na 100 kilometrov	po 101 litru na 100 kilometrov	{0} litrih na 100 kilometrov	po 102 litrih na 100 kilometrov	{0} litrih na 100 kilometrov	po 4 litrih na 100 kilometrov	{0} litrih na 100 kilometrov	po 5 litrih na 100 kilometrov
consumption	liters per 100 kilometers	masculine	On liter na 100 kilometrov	dative	{0} litru na 100 kilometrov	kljub 101 litru na 100 kilometrov	{0} litroma na 100 kilometrov	kljub 102 litroma na 100 kilometrov	{0} litrom na 100 kilometrov	kljub 4 litrom na 100 kilometrov	{0} litrom na 100 kilometrov	kljub 5 litrom na 100 kilometrov
consumption	liters per 100 kilometers	masculine	On liter na 100 kilometrov	instrumental	{0} litrom na 100 kilometrov	s/z 101 litrom na 100 kilometrov	{0} litroma na 100 kilometrov	s/z 102 litroma na 100 kilometrov	{0} litri na 100 kilometrov	s/z 4 litri na 100 kilometrov	{0} litri na 100 kilometrov	s/z 5 litri na 100 kilometrov
consumption	liters per kilometer	masculine	On liter na kilometer	nominative	{0} liter na kilometer	101 liter na kilometer je	{0} litra na kilometer	102 litra na kilometer je	{0} litri na kilometer	4 litri na kilometer je	{0} litrov na kilometer	5 litrov na kilometer je
consumption	liters per kilometer	masculine	On liter na kilometer	accusative	{0} liter na kilometer	čez 101 liter na kilometer	{0} litra na kilometer	čez 102 litra na kilometer	{0} litre na kilometer	čez 4 litre na kilometer	{0} litrov na kilometer	čez 5 litrov na kilometer
consumption	liters per kilometer	masculine	On liter na kilometer	genitive	{0} litra na kilometer	brez 101 litra na kilometer	{0} litrov na kilometer	brez 102 litrov na kilometer	{0} litrov na kilometer	brez 4 litrov na kilometer	{0} litrov na kilometer	brez 5 litrov na kilometer
consumption	liters per kilometer	masculine	On liter na kilometer	locative	{0} litru na kilometer	po 101 litru na kilometer	{0} litrih na kilometer	po 102 litrih na kilometer	{0} litrih na kilometer	po 4 litrih na kilometer	{0} litrih na kilometer	po 5 litrih na kilometer
consumption	liters per kilometer	masculine	On liter na kilometer	dative	{0} litru na kilometer	kljub 101 litru na kilometer	{0} litroma na kilometer	kljub 102 litroma na kilometer	{0} litrom na kilometer	kljub 4 litrom na kilometer	{0} litrom na kilometer	kljub 5 litrom na kilometer
consumption	liters per kilometer	masculine	On liter na kilometer	instrumental	{0} litrom na kilometer	s/z 101 litrom na kilometer	{0} litroma na kilometer	s/z 102 litroma na kilometer	{0} litri na kilometer	s/z 4 litri na kilometer	{0} litri na kilometer	s/z 5 litri na kilometer
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	nominative	{0} milja na imperialno galono	101 milja na imperialno galono je	{0} milji na imperialno galono	102 milji na imperialno galono je	{0} milje na imperialno galono	4 milje na imperialno galono je	{0} milj na imperialno galono	5 milj na imperialno galono je
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	accusative	{0} milja na imperialno galono	čez 101 milja na imperialno galono	{0} milji na imperialno galono	čez 102 milji na imperialno galono	{0} milje na imperialno galono	čez 4 milje na imperialno galono	{0} milj na imperialno galono	čez 5 milj na imperialno galono
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	genitive	{0} milja na imperialno galono	brez 101 milja na imperialno galono	{0} milji na imperialno galono	brez 102 milji na imperialno galono	{0} milje na imperialno galono	brez 4 milje na imperialno galono	{0} milj na imperialno galono	brez 5 milj na imperialno galono
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	locative	{0} milja na imperialno galono	po 101 milja na imperialno galono	{0} milji na imperialno galono	po 102 milji na imperialno galono	{0} milje na imperialno galono	po 4 milje na imperialno galono	{0} milj na imperialno galono	po 5 milj na imperialno galono
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	dative	{0} milja na imperialno galono	kljub 101 milja na imperialno galono	{0} milji na imperialno galono	kljub 102 milji na imperialno galono	{0} milje na imperialno galono	kljub 4 milje na imperialno galono	{0} milj na imperialno galono	kljub 5 milj na imperialno galono
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	instrumental	{0} milja na imperialno galono	s/z 101 milja na imperialno galono	{0} milji na imperialno galono	s/z 102 milji na imperialno galono	{0} milje na imperialno galono	s/z 4 milje na imperialno galono	{0} milj na imperialno galono	s/z 5 milj na imperialno galono
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	nominative	{0} milja na galono	101 milja na galono je	{0} milji na galono	102 milji na galono je	{0} milje na galono	4 milje na galono je	{0} milj na galono	5 milj na galono je
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	accusative	{0} milja na galono	čez 101 milja na galono	{0} milji na galono	čez 102 milji na galono	{0} milje na galono	čez 4 milje na galono	{0} milj na galono	čez 5 milj na galono
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	genitive	{0} milja na galono	brez 101 milja na galono	{0} milji na galono	brez 102 milji na galono	{0} milje na galono	brez 4 milje na galono	{0} milj na galono	brez 5 milj na galono
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	locative	{0} milja na galono	po 101 milja na galono	{0} milji na galono	po 102 milji na galono	{0} milje na galono	po 4 milje na galono	{0} milj na galono	po 5 milj na galono
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	dative	{0} milja na galono	kljub 101 milja na galono	{0} milji na galono	kljub 102 milji na galono	{0} milje na galono	kljub 4 milje na galono	{0} milj na galono	kljub 5 milj na galono
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	instrumental	{0} milja na galono	s/z 101 milja na galono	{0} milji na galono	s/z 102 milji na galono	{0} milje na galono	s/z 4 milje na galono	{0} milj na galono	s/z 5 milj na galono
digital	bits	masculine	On bit	nominative	{0} bit	101 bit je	{0} bita	102 bita je	{0} biti	4 biti je	{0} bitov	5 bitov je
digital	bits	masculine	On bit	accusative	{0} bit	čez 101 bit	{0} bita	čez 102 bita	{0} bite	čez 4 bite	{0} bitov	čez 5 bitov
digital	bits	masculine	On bit	genitive	{0} bita	brez 101 bita	{0} bitov	brez 102 bitov	{0} bitov	brez 4 bitov	{0} bitov	brez 5 bitov
digital	bits	masculine	On bit	locative	{0} bitu	po 101 bitu	{0} bitih	po 102 bitih	{0} bitih	po 4 bitih	{0} bitih	po 5 bitih
digital	bits	masculine	On bit	dative	{0} bitu	kljub 101 bitu	{0} bitoma	kljub 102 bitoma	{0} bitom	kljub 4 bitom	{0} bitom	kljub 5 bitom
digital	bits	masculine	On bit	instrumental	{0} bitom	s/z 101 bitom	{0} bitoma	s/z 102 bitoma	{0} biti	s/z 4 biti	{0} biti	s/z 5 biti
digital	byte • ( = 8 bit)	masculine	On bajt	nominative	{0} bajt	101 bajt je	{0} bajta	102 bajta je	{0} bajti	4 bajti je	{0} bajtov	5 bajtov je
digital	byte • ( = 8 bit)	masculine	On bajt	accusative	{0} bajt	čez 101 bajt	{0} bajta	čez 102 bajta	{0} bajte	čez 4 bajte	{0} bajtov	čez 5 bajtov
digital	byte • ( = 8 bit)	masculine	On bajt	genitive	{0} bajta	brez 101 bajta	{0} bajtov	brez 102 bajtov	{0} bajtov	brez 4 bajtov	{0} bajtov	brez 5 bajtov
digital	byte • ( = 8 bit)	masculine	On bajt	locative	{0} bajtu	po 101 bajtu	{0} bajtih	po 102 bajtih	{0} bajtih	po 4 bajtih	{0} bajtih	po 5 bajtih
digital	byte • ( = 8 bit)	masculine	On bajt	dative	{0} bajtu	kljub 101 bajtu	{0} bajtoma	kljub 102 bajtoma	{0} bajtom	kljub 4 bajtom	{0} bajtom	kljub 5 bajtom
digital	byte • ( = 8 bit)	masculine	On bajt	instrumental	{0} bajtom	s/z 101 bajtom	{0} bajtoma	s/z 102 bajtoma	{0} bajti	s/z 4 bajti	{0} bajti	s/z 5 bajti
digital	kilobits	masculine	On kilobit	nominative	{0} kilobit	101 kilobit je	{0} kilobita	102 kilobita je	{0} kilobiti	4 kilobiti je	{0} kilobitov	5 kilobitov je
digital	kilobits	masculine	On kilobit	accusative	{0} kilobit	čez 101 kilobit	{0} kilobita	čez 102 kilobita	{0} kilobite	čez 4 kilobite	{0} kilobitov	čez 5 kilobitov
digital	kilobits	masculine	On kilobit	genitive	{0} kilobita	brez 101 kilobita	{0} kilobitov	brez 102 kilobitov	{0} kilobitov	brez 4 kilobitov	{0} kilobitov	brez 5 kilobitov
digital	kilobits	masculine	On kilobit	locative	{0} kilobitu	po 101 kilobitu	{0} kilobitih	po 102 kilobitih	{0} kilobitih	po 4 kilobitih	{0} kilobitih	po 5 kilobitih
digital	kilobits	masculine	On kilobit	dative	{0} kilobitu	kljub 101 kilobitu	{0} kilobitoma	kljub 102 kilobitoma	{0} kilobitom	kljub 4 kilobitom	{0} kilobitm	kljub 5 kilobitm
digital	kilobits	masculine	On kilobit	instrumental	{0} kilobitom	s/z 101 kilobitom	{0} kilobitoma	s/z 102 kilobitoma	{0} kilobiti	s/z 4 kilobiti	{0} kilobiti	s/z 5 kilobiti
digital	kilobyte • ( = 8 kb)	masculine	On kilobajt	nominative	{0} kilobajt	101 kilobajt je	{0} kilobajta	102 kilobajta je	{0} kilobajti	4 kilobajti je	{0} kilobajtov	5 kilobajtov je
digital	kilobyte • ( = 8 kb)	masculine	On kilobajt	accusative	{0} kilobajt	čez 101 kilobajt	{0} kilobajta	čez 102 kilobajta	{0} kilobajte	čez 4 kilobajte	{0} kilobajtov	čez 5 kilobajtov
digital	kilobyte • ( = 8 kb)	masculine	On kilobajt	genitive	{0} kilobajta	brez 101 kilobajta	{0} kilobajtov	brez 102 kilobajtov	{0} kilobajtov	brez 4 kilobajtov	{0} kilobajtov	brez 5 kilobajtov
digital	kilobyte • ( = 8 kb)	masculine	On kilobajt	locative	{0} kilobajtu	po 101 kilobajtu	{0} kilobajtih	po 102 kilobajtih	{0} kilobajtih	po 4 kilobajtih	{0} kilobajtih	po 5 kilobajtih
digital	kilobyte • ( = 8 kb)	masculine	On kilobajt	dative	{0} kilobajtu	kljub 101 kilobajtu	{0} kilobajtoma	kljub 102 kilobajtoma	{0} kilobajtom	kljub 4 kilobajtom	{0} kilobajtom	kljub 5 kilobajtom
digital	kilobyte • ( = 8 kb)	masculine	On kilobajt	instrumental	{0} kilobajtom	s/z 101 kilobajtom	{0} kilobajtoma	s/z 102 kilobajtoma	{0} kilobajti	s/z 4 kilobajti	{0} kilobajti	s/z 5 kilobajti
digital	megabits	masculine	On megabit	nominative	{0} megabit	101 megabit je	{0} megabita	102 megabita je	{0} megabiti	4 megabiti je	{0} megabitov	5 megabitov je
digital	megabits	masculine	On megabit	accusative	{0} megabit	čez 101 megabit	{0} megabita	čez 102 megabita	{0} megabite	čez 4 megabite	{0} megabitov	čez 5 megabitov
digital	megabits	masculine	On megabit	genitive	{0} megabita	brez 101 megabita	{0} megabitov	brez 102 megabitov	{0} megabitov	brez 4 megabitov	{0} megabitov	brez 5 megabitov
digital	megabits	masculine	On megabit	locative	{0} megabitu	po 101 megabitu	{0} megabitih	po 102 megabitih	{0} megabitih	po 4 megabitih	{0} megabitih	po 5 megabitih
digital	megabits	masculine	On megabit	dative	{0} megabitu	kljub 101 megabitu	{0} megabitoma	kljub 102 megabitoma	{0} megabitom	kljub 4 megabitom	{0} megabitom	kljub 5 megabitom
digital	megabits	masculine	On megabit	instrumental	{0} megabitom	s/z 101 megabitom	{0} megabitoma	s/z 102 megabitoma	{0} megabiti	s/z 4 megabiti	{0} megabiti	s/z 5 megabiti
digital	megabyte • ( = 8 Mb)	masculine	On megabajt	nominative	{0} megabajt	101 megabajt je	{0} megabajta	102 megabajta je	{0} megabajti	4 megabajti je	{0} megabajtov	5 megabajtov je
digital	megabyte • ( = 8 Mb)	masculine	On megabajt	accusative	{0} megabajt	čez 101 megabajt	{0} megabajta	čez 102 megabajta	{0} megabajte	čez 4 megabajte	{0} megabajtov	čez 5 megabajtov
digital	megabyte • ( = 8 Mb)	masculine	On megabajt	genitive	{0} megabajta	brez 101 megabajta	{0} megabajtov	brez 102 megabajtov	{0} megabajtov	brez 4 megabajtov	{0} megabajtov	brez 5 megabajtov
digital	megabyte • ( = 8 Mb)	masculine	On megabajt	locative	{0} megabajtu	po 101 megabajtu	{0} megabajtih	po 102 megabajtih	{0} megabajtih	po 4 megabajtih	{0} megabajtih	po 5 megabajtih
digital	megabyte • ( = 8 Mb)	masculine	On megabajt	dative	{0} megabajtu	kljub 101 megabajtu	{0} megabajtoma	kljub 102 megabajtoma	{0} megabajtom	kljub 4 megabajtom	{0} megabajtom	kljub 5 megabajtom
digital	megabyte • ( = 8 Mb)	masculine	On megabajt	instrumental	{0} megabajtom	s/z 101 megabajtom	{0} megabajtoma	s/z 102 megabajtoma	{0} megabajti	s/z 4 megabajti	{0} megabajti	s/z 5 megabajti
digital	gigabits	masculine	On gigabit	nominative	{0} gigabit	101 gigabit je	{0} gigabita	102 gigabita je	{0} gigabiti	4 gigabiti je	{0} gigabitov	5 gigabitov je
digital	gigabits	masculine	On gigabit	accusative	{0} gigabit	čez 101 gigabit	{0} gigabita	čez 102 gigabita	{0} gigabite	čez 4 gigabite	{0} gigabitov	čez 5 gigabitov
digital	gigabits	masculine	On gigabit	genitive	{0} gigabita	brez 101 gigabita	{0} gigabitov	brez 102 gigabitov	{0} gigabitov	brez 4 gigabitov	{0} gigabitov	brez 5 gigabitov
digital	gigabits	masculine	On gigabit	locative	{0} gigabitu	po 101 gigabitu	{0} gigabitih	po 102 gigabitih	{0} gigabitih	po 4 gigabitih	{0} gigabitih	po 5 gigabitih
digital	gigabits	masculine	On gigabit	dative	{0} gigabitu	kljub 101 gigabitu	{0} gigabitoma	kljub 102 gigabitoma	{0} gigabitom	kljub 4 gigabitom	{0} gigabitom	kljub 5 gigabitom
digital	gigabits	masculine	On gigabit	instrumental	{0} gigabitom	s/z 101 gigabitom	{0} gigabitoma	s/z 102 gigabitoma	{0} gigabiti	s/z 4 gigabiti	{0} gigabiti	s/z 5 gigabiti
digital	gigabyte • ( = 8 Gb)	masculine	On gigabajt	nominative	{0} gigabajt	101 gigabajt je	{0} gigabajta	102 gigabajta je	{0} gigabajti	4 gigabajti je	{0} gigabajtov	5 gigabajtov je
digital	gigabyte • ( = 8 Gb)	masculine	On gigabajt	accusative	{0} gigabajt	čez 101 gigabajt	{0} gigabajta	čez 102 gigabajta	{0} gigabajte	čez 4 gigabajte	{0} gigabajtov	čez 5 gigabajtov
digital	gigabyte • ( = 8 Gb)	masculine	On gigabajt	genitive	{0} gigabajta	brez 101 gigabajta	{0} gigabajtov	brez 102 gigabajtov	{0} gigabajtov	brez 4 gigabajtov	{0} gigabajtov	brez 5 gigabajtov
digital	gigabyte • ( = 8 Gb)	masculine	On gigabajt	locative	{0} gigabajtu	po 101 gigabajtu	{0} gigabajtih	po 102 gigabajtih	{0} gigabajtih	po 4 gigabajtih	{0} gigabajtih	po 5 gigabajtih
digital	gigabyte • ( = 8 Gb)	masculine	On gigabajt	dative	{0} gigabajtu	kljub 101 gigabajtu	{0} gigabajtoma	kljub 102 gigabajtoma	{0} gigabajtom	kljub 4 gigabajtom	{0} gigabajtom	kljub 5 gigabajtom
digital	gigabyte • ( = 8 Gb)	masculine	On gigabajt	instrumental	{0} gigabajtom	s/z 101 gigabajtom	{0} gigabajtoma	s/z 102 gigabajtoma	{0} gigabajti	s/z 4 gigabajti	{0} gigabajti	s/z 5 gigabajti
digital	terabits	masculine	On terabit	nominative	{0} terabit	101 terabit je	{0} terabita	102 terabita je	{0} terabiti	4 terabiti je	{0} terabitov	5 terabitov je
digital	terabits	masculine	On terabit	accusative	{0} terabit	čez 101 terabit	{0} terabita	čez 102 terabita	{0} terabite	čez 4 terabite	{0} terabitov	čez 5 terabitov
digital	terabits	masculine	On terabit	genitive	{0} terabita	brez 101 terabita	{0} terabitov	brez 102 terabitov	{0} terabitov	brez 4 terabitov	{0} terabitov	brez 5 terabitov
digital	terabits	masculine	On terabit	locative	{0} terabitu	po 101 terabitu	{0} terabitih	po 102 terabitih	{0} terabitih	po 4 terabitih	{0} terabitih	po 5 terabitih
digital	terabits	masculine	On terabit	dative	{0} terabitu	kljub 101 terabitu	{0} terabitoma	kljub 102 terabitoma	{0} terabitom	kljub 4 terabitom	{0} terabitom	kljub 5 terabitom
digital	terabits	masculine	On terabit	instrumental	{0} terabitom	s/z 101 terabitom	{0} terabitoma	s/z 102 terabitoma	{0} terabiti	s/z 4 terabiti	{0} terabiti	s/z 5 terabiti
digital	terabyte • ( = 8 Tb)	masculine	On terabajt	nominative	{0} terabajt	101 terabajt je	{0} terabajta	102 terabajta je	{0} terabajti	4 terabajti je	{0} terabajtov	5 terabajtov je
digital	terabyte • ( = 8 Tb)	masculine	On terabajt	accusative	{0} terabajt	čez 101 terabajt	{0} terabajta	čez 102 terabajta	{0} terabajte	čez 4 terabajte	{0} terabajtov	čez 5 terabajtov
digital	terabyte • ( = 8 Tb)	masculine	On terabajt	genitive	{0} terabajta	brez 101 terabajta	{0} terabajtov	brez 102 terabajtov	{0} terabajtov	brez 4 terabajtov	{0} terabajtov	brez 5 terabajtov
digital	terabyte • ( = 8 Tb)	masculine	On terabajt	locative	{0} terabajtu	po 101 terabajtu	{0} terabajtih	po 102 terabajtih	{0} terabajtih	po 4 terabajtih	{0} terabajtih	po 5 terabajtih
digital	terabyte • ( = 8 Tb)	masculine	On terabajt	dative	{0} terabajtu	kljub 101 terabajtu	{0} terabajtoma	kljub 102 terabajtoma	{0} terabajtom	kljub 4 terabajtom	{0} terabajtom	kljub 5 terabajtom
digital	terabyte • ( = 8 Tb)	masculine	On terabajt	instrumental	{0} terabajtom	s/z 101 terabajtom	{0} terabajtoma	s/z 102 terabajtoma	{0} terabajti	s/z 4 terabajti	{0} terabajti	s/z 5 terabajti
digital	petabyte • ( = 8000 Tb)	masculine	On petabajt	nominative	{0} petabajt	101 petabajt je	{0} petabajta	102 petabajta je	{0} petabajti	4 petabajti je	{0} petabajtov	5 petabajtov je
digital	petabyte • ( = 8000 Tb)	masculine	On petabajt	accusative	{0} petabajt	čez 101 petabajt	{0} petabajta	čez 102 petabajta	{0} petabajte	čez 4 petabajte	{0} petabajtov	čez 5 petabajtov
digital	petabyte • ( = 8000 Tb)	masculine	On petabajt	genitive	{0} petabajta	brez 101 petabajta	{0} petabajtov	brez 102 petabajtov	{0} petabajtov	brez 4 petabajtov	{0} petabajtov	brez 5 petabajtov
digital	petabyte • ( = 8000 Tb)	masculine	On petabajt	locative	{0} petabajtu	po 101 petabajtu	{0} petabajtih	po 102 petabajtih	{0} petabajtih	po 4 petabajtih	{0} petabajtih	po 5 petabajtih
digital	petabyte • ( = 8000 Tb)	masculine	On petabajt	dative	{0} petabajtu	kljub 101 petabajtu	{0} petabajtoma	kljub 102 petabajtoma	{0} petabajtom	kljub 4 petabajtom	{0} petabajtom	kljub 5 petabajtom
